Entry	Protein names	Gene names	Organism	Entry name
O35657	Sialidase-1 (EC 3.2.1.18) (G9 sialidase) (Lysosomal sialidase) (N-acetyl-alpha-neuraminidase 1)	Neu1 Neu	Mus musculus (Mouse)	NEUR1_MOUSE
Q672J9	NADPH oxidase 3 (EC 1.6.3.-)	Nox3	Mus musculus (Mouse)	NOX3_MOUSE
Q8CB65	Nuclear envelope integral membrane protein 2	Nemp2 Tmem194b	Mus musculus (Mouse)	NEMP2_MOUSE
Q9D1G2	Phosphomevalonate kinase (PMKase) (EC 2.7.4.2)	Pmvk	Mus musculus (Mouse)	PMVK_MOUSE
Q571H0	Nucleolar pre-ribosomal-associated protein 1 (URB1 ribosome biogenesis 1 homolog)	Urb1 Kiaa0539 Npa1	Mus musculus (Mouse)	NPA1P_MOUSE
P97460	Neuronal PAS domain-containing protein 2 (Neuronal PAS2)	Npas2	Mus musculus (Mouse)	NPAS2_MOUSE
O88942	Nuclear factor of activated T-cells, cytoplasmic 1 (NF-ATc1) (NFATc1) (NFAT transcription complex cytosolic component) (NF-ATc) (NFATc)	Nfatc1 Nfat2 Nfatc	Mus musculus (Mouse)	NFAC1_MOUSE
Q9QZQ0	Neuronal PAS domain-containing protein 3 (Neuronal PAS3) (Basic-helix-loop-helix-PAS protein MOP6) (Member of PAS protein 6)	Npas3 Mop6	Mus musculus (Mouse)	NPAS3_MOUSE
Q2LKU9	NACHT, LRR and PYD domains-containing protein 1a (EC 3.4.-.-) (Caspase recruitment domain-containing protein 7) (Death effector filament-forming ced-4-like apoptosis protein) (Nucleotide-binding domain and caspase recruitment domain) [Cleaved into: NACHT, LRR and PYD domains-containing protein 1a, C-terminus (Nlrp1a-CT); NACHT, LRR and PYD domains-containing protein 1a, N-terminus (Nlrp1a-NT)]	Nlrp1a Card7 Nalp1 Nalp1a Nlrp1	Mus musculus (Mouse)	NLR1A_MOUSE
Q66X03	NACHT, LRR and PYD domains-containing protein 9A (NALP-theta)	Nlrp9a Nalp9a	Mus musculus (Mouse)	NLR9A_MOUSE
Q8BMA5	Protein NPAT	Npat	Mus musculus (Mouse)	NPAT_MOUSE
Q66X01	NACHT, LRR and PYD domains-containing protein 9C (NALP-zeta)	Nlrp9c Nalp9c	Mus musculus (Mouse)	NLR9C_MOUSE
Q8K3Z0	Nucleotide-binding oligomerization domain-containing protein 2 (Caspase recruitment domain-containing protein 15)	Nod2 Card15	Mus musculus (Mouse)	NOD2_MOUSE
P70313	Nitric oxide synthase, endothelial (EC 1.14.13.39) (Constitutive NOS) (cNOS) (EC-NOS) (Endothelial NOS) (eNOS) (NOS type III) (NOSIII)	Nos3 Ecnos	Mus musculus (Mouse)	NOS3_MOUSE
Q61469	Phospholipid phosphatase 1 (EC 3.1.3.-) (EC 3.1.3.106) (EC 3.1.3.4) (EC 3.1.3.81) (35 kDa PAP) (mPAP) (Hydrogen peroxide-inducible protein 53) (Hic53) (Lipid phosphate phosphohydrolase 1) (PAP2-alpha) (Phosphatidate phosphohydrolase type 2a) (Phosphatidic acid phosphatase 2a) (PAP-2a) (PAP2a)	Plpp1 Hpic53 Lpp1 Ppap2a	Mus musculus (Mouse)	PLPP1_MOUSE
Q62028	Secretory phospholipase A2 receptor (PLA2-R) (PLA2R) (180 kDa secretory phospholipase A2 receptor) (M-type receptor) [Cleaved into: Soluble secretory phospholipase A2 receptor (Soluble PLA2-R) (Soluble PLA2R)]	Pla2r1 Pla2g1br	Mus musculus (Mouse)	PLA2R_MOUSE
Q9QYE9	Pleckstrin homology domain-containing family B member 1 (PH domain-containing family B member 1) (Evectin-1) (PH domain-containing protein in retina 1) (PHRET1) (Pleckstrin homology domain retinal protein 1)	Plekhb1 Evt1 Phr1	Mus musculus (Mouse)	PKHB1_MOUSE
Q9WV30	Nuclear factor of activated T-cells 5 (NF-AT5) (Rel domain-containing transcription factor NFAT5) (T-cell transcription factor NFAT5)	Nfat5	Mus musculus (Mouse)	NFAT5_MOUSE
P35438	Glutamate receptor ionotropic, NMDA 1 (GluN1) (Glutamate [NMDA] receptor subunit zeta-1) (N-methyl-D-aspartate receptor subunit NR1) (NMD-R1)	Grin1 Glurz1	Mus musculus (Mouse)	NMDZ1_MOUSE
Q6WKZ7	Nostrin (Disabled homolog 2-interacting protein 2) (Dab2-interacting protein 2) (Nitric oxide synthase trafficker) (eNOS-trafficking inducer)	Nostrin Daip2	Mus musculus (Mouse)	NOSTN_MOUSE
Q91WB4	Pleckstrin homology domain-containing family F member 2 (PH domain-containing family F member 2)	Plekhf2	Mus musculus (Mouse)	PKHF2_MOUSE
Q8JZX3	POC1 centriolar protein homolog A (WD repeat-containing protein 51A)	Poc1a Wdr51a	Mus musculus (Mouse)	POC1A_MOUSE
Q4VAC9	Pleckstrin homology domain-containing family G member 3 (PH domain-containing family G member 3)	Plekhg3 Kiaa0599	Mus musculus (Mouse)	PKHG3_MOUSE
Q8BHD1	POC1 centriolar protein homolog B (WD repeat-containing protein 51B)	Poc1b Wdr51b	Mus musculus (Mouse)	POC1B_MOUSE
Q66T02	Pleckstrin homology domain-containing family G member 5 (PH domain-containing family G member 5) (Synectin-binding RhoA exchange factor) (SYX)	Plekhg5 Kiaa0720 Syx	Mus musculus (Mouse)	PKHG5_MOUSE
Q9D240	Pleckstrin homology domain-containing family J member 1 (PH domain-containing family J member 1) (Guanine nucleotide-releasing protein x)	Plekhj1 Gnrpx	Mus musculus (Mouse)	PKHJ1_MOUSE
Q80ZA4	Fibrocystin-L (Polycystic kidney and hepatic disease 1-like protein 1) (PKHD1-like protein 1) (Protein D86)	Pkhd1l1	Mus musculus (Mouse)	PKHL1_MOUSE
Q7TQ62	Podocan	Podn	Mus musculus (Mouse)	PODN_MOUSE
P63328	Serine/threonine-protein phosphatase 2B catalytic subunit alpha isoform (EC 3.1.3.16) (CAM-PRP catalytic subunit) (Calmodulin-dependent calcineurin A subunit alpha isoform) (CNA alpha)	Ppp3ca Calna	Mus musculus (Mouse)	PP2BA_MOUSE
Q7TSI1	Pleckstrin homology domain-containing family M member 1 (PH domain-containing family M member 1)	Plekhm1	Mus musculus (Mouse)	PKHM1_MOUSE
Q91X05	Podocin	Nphs2	Mus musculus (Mouse)	PODO_MOUSE
P48453	Serine/threonine-protein phosphatase 2B catalytic subunit beta isoform (EC 3.1.3.16) (CAM-PRP catalytic subunit) (Calmodulin-dependent calcineurin A subunit beta isoform) (CNA beta)	Ppp3cb Calnb	Mus musculus (Mouse)	PP2BB_MOUSE
Q80TQ5	Pleckstrin homology domain-containing family M member 2 (PH domain-containing family M member 2)	Plekhm2 Kiaa0842	Mus musculus (Mouse)	PKHM2_MOUSE
Q8BM47	Pleckstrin homology domain-containing family M member 3 (PH domain-containing family M member 3) (Differentiation-associated protein)	Plekhm3 Dapr	Mus musculus (Mouse)	PKHM3_MOUSE
Q9R0M4	Podocalyxin (Podocalyxin-like protein 1) (PC) (PCLP-1)	Podxl Pclp1	Mus musculus (Mouse)	PODXL_MOUSE
P48455	Serine/threonine-protein phosphatase 2B catalytic subunit gamma isoform (EC 3.1.3.16) (CAM-PRP catalytic subunit) (Calcineurin, testis-specific catalytic subunit) (Calmodulin-dependent calcineurin A subunit gamma isoform)	Ppp3cc Calnc	Mus musculus (Mouse)	PP2BC_MOUSE
Q9JIY0	Pleckstrin homology domain-containing family O member 1 (PH domain-containing family O member 1)	Plekho1	Mus musculus (Mouse)	PKHO1_MOUSE
Q8K124	Pleckstrin homology domain-containing family O member 2 (PH domain-containing family O member 2) (Pleckstrin homology domain-containing family Q member 1) (PH domain-containing family Q member 1)	Plekho2 Plekhq1	Mus musculus (Mouse)	PKHO2_MOUSE
Q8BW88	Pleckstrin homology domain-containing family S member 1 (PH domain-containing family S member 1)	Plekhs1	Mus musculus (Mouse)	PKHS1_MOUSE
Q8R2U2	Nucleolus and neural progenitor protein (Neural progenitor protein)	Nepro	Mus musculus (Mouse)	NEPRO_MOUSE
Q8BVT6	Protein phosphatase 2C-like domain-containing protein 1	Pp2d1	Mus musculus (Mouse)	PP2D1_MOUSE
Q9DCE5	p21-activated protein kinase-interacting protein 1 (PAK1-interacting protein 1) (Putative PAK inhibitor Skb15)	Pak1ip1	Mus musculus (Mouse)	PK1IP_MOUSE
Q80WB5	Protein N-terminal glutamine amidohydrolase (EC 3.5.1.122) (Protein NH2-terminal glutamine deamidase) (N-terminal Gln amidase) (Nt(Q)-amidase) (WDYHV motif-containing protein 1)	Ntaq1 Wdyhv1	Mus musculus (Mouse)	NTAQ1_MOUSE
Q9CZL5	Pterin-4-alpha-carbinolamine dehydratase 2 (PHS 2) (EC 4.2.1.96) (4-alpha-hydroxy-tetrahydropterin dehydratase 2) (DcoH-like protein DCoHm) (Dimerization cofactor of hepatocyte nuclear factor 1 from muscle) (HNF-1-alpha dimerization cofactor)	Pcbd2 Dcoh2 Dcohm	Mus musculus (Mouse)	PHS2_MOUSE
Q91ZA8	Notch-regulated ankyrin repeat-containing protein	Nrarp	Mus musculus (Mouse)	NRARP_MOUSE
Q641K5	NUAK family SNF1-like kinase 1 (EC 2.7.11.1) (AMPK-related protein kinase 5) (Omphalocele kinase 1)	Nuak1 Kiaa0537 Omphk1	Mus musculus (Mouse)	NUAK1_MOUSE
Q3UEZ8	Sodium/bile acid cotransporter 4 (Na(+)/bile acid cotransporter 4) (Solute carrier family 10 member 4)	Slc10a4	Mus musculus (Mouse)	NTCP4_MOUSE
Q9CQJ2	PIH1 domain-containing protein 1 (Nucleolar protein 17 homolog)	Pih1d1 Nop17	Mus musculus (Mouse)	PIHD1_MOUSE
P54729	NEDD8 ultimate buster 1 (Negative regulator of ubiquitin-like proteins 1) (Protein BS4)	Nub1 Nyren18	Mus musculus (Mouse)	NUB1_MOUSE
Q8R1N4	NudC domain-containing protein 3	Nudcd3 Kiaa1068	Mus musculus (Mouse)	NUDC3_MOUSE
Q7TPN9	Proline-rich protein 14	Prr14	Mus musculus (Mouse)	PRR14_MOUSE
Q9CQ48	NudC domain-containing protein 2	Nudcd2 D11Ertd603e	Mus musculus (Mouse)	NUDC2_MOUSE
Q5F2E7	Nuclear fragile X mental retardation-interacting protein 2 (82 kDa FMRP-interacting protein) (82-FIP) (FMRP-interacting protein 2)	Nufip2 Kiaa1321	Mus musculus (Mouse)	NUFP2_MOUSE
Q9QZB6	Nuclear receptor subfamily 4 group A member 3 (Orphan nuclear receptor TEC) (Translocated in extraskeletal chondrosarcoma)	Nr4a3 Tec	Mus musculus (Mouse)	NR4A3_MOUSE
P56974	Pro-neuregulin-2, membrane-bound isoform (Pro-NRG2) [Cleaved into: Neuregulin-2 (NRG-2) (Divergent of neuregulin 1) (DON-1)]	Nrg2	Mus musculus (Mouse)	NRG2_MOUSE
Q3U5C7	Prickle-like protein 1	Prickle1	Mus musculus (Mouse)	PRIC1_MOUSE
P46460	Vesicle-fusing ATPase (EC 3.6.4.6) (N-ethylmaleimide-sensitive fusion protein) (NEM-sensitive fusion protein) (Suppressor of K(+) transport growth defect 2) (Protein SKD2) (Vesicular-fusion protein NSF)	Nsf Skd2	Mus musculus (Mouse)	NSF_MOUSE
P70310	Neurotensin receptor type 2 (NT-R-2) (NTR2) (Low-affinity levocabastine-sensitive neurotensin receptor) (NTRL)	Ntsr2	Mus musculus (Mouse)	NTR2_MOUSE
Q921B4	Neurotrophin receptor-interacting factor 2 (Zinc finger protein 369)	Nrif2 Zfp369	Mus musculus (Mouse)	NRIF2_MOUSE
Q9D9B7	Proline-rich protein 30	Prr30	Mus musculus (Mouse)	PRR30_MOUSE
Q8VC65	Nurim (Nuclear envelope membrane protein) (Nuclear rim protein)	Nrm	Mus musculus (Mouse)	NRM_MOUSE
Q9D6I3	Profilin-4 (Profilin IV)	Pfn4	Mus musculus (Mouse)	PROF4_MOUSE
P15209	BDNF/NT-3 growth factors receptor (EC 2.7.10.1) (GP145-TrkB/GP95-TrkB) (Trk-B) (Neurotrophic tyrosine kinase receptor type 2) (TrkB tyrosine kinase)	Ntrk2 Trkb	Mus musculus (Mouse)	NTRK2_MOUSE
Q8CCT7	tRNA (cytosine(34)-C(5))-methyltransferase, mitochondrial (EC 2.1.1.-) (NOL1/NOP2/Sun domain family member 3)	Nsun3	Mus musculus (Mouse)	NSUN3_MOUSE
P97463	Neurturin	Nrtn	Mus musculus (Mouse)	NRTN_MOUSE
Q99P88	Nuclear pore complex protein Nup155 (155 kDa nucleoporin) (Nucleoporin Nup155)	Nup155	Mus musculus (Mouse)	NU155_MOUSE
Q5HZK2	Neurensin-2	Nrsn2 Gm123	Mus musculus (Mouse)	NRSN2_MOUSE
Q9JIY8	N-acetyltransferase family 8 member 3 (EC 2.3.1.48) (Camello-like protein 3) (N-acetyltransferase CML3)	Nat8f3 Cml3	Mus musculus (Mouse)	NT8F3_MOUSE
Q8C985	Neurexin-3-beta (Neurexin III-beta) [Cleaved into: Neurexin-3-beta, soluble form; Neurexin-3-beta, C-terminal fragment (NRXN3-CTF)]	Nrxn3	Mus musculus (Mouse)	NRX3B_MOUSE
Q61074	Protein phosphatase 1G (EC 3.1.3.16) (Fibroblast growth factor-inducible protein 13) (FIN13) (Protein phosphatase 1C) (Protein phosphatase 2C isoform gamma) (PP2C-gamma) (Protein phosphatase magnesium-dependent 1 gamma)	Ppm1g Fin13 Ppm1c	Mus musculus (Mouse)	PPM1G_MOUSE
Q924H0	Neuropeptide FF receptor 2 (G-protein coupled receptor 74) (Neuropeptide NPFF receptor)	Npffr2 Gpr74 Npff2	Mus musculus (Mouse)	NPFF2_MOUSE
Q9D136	2-oxoglutarate and iron-dependent oxygenase domain-containing protein 3 (EC 1.14.11.-)	Ogfod3	Mus musculus (Mouse)	OGFD3_MOUSE
P0C913	Overexpressed in colon carcinoma 1 protein homolog (OCC-1)		Mus musculus (Mouse)	OCC1_MOUSE
Q9WUV0	Origin recognition complex subunit 5	Orc5 Orc5l	Mus musculus (Mouse)	ORC5_MOUSE
A2AAJ9	Obscurin (EC 2.7.11.1) (Obscurin-RhoGEF) (Obscurin-myosin light chain kinase) (Obscurin-MLCK)	Obscn Gm878	Mus musculus (Mouse)	OBSCN_MOUSE
Q8VEZ0	Olfactory receptor 480 (Odorant receptor S25) (Olfactory receptor 204-32)	Olfr480 Mor204-32	Mus musculus (Mouse)	OL480_MOUSE
Q8VI88	Outer dense fiber protein 4 (Outer dense fiber of sperm tails protein 4) (Testis-specific protein oppo 1)	Odf4 Oppo1	Mus musculus (Mouse)	ODFP4_MOUSE
Q60895	Olfactory receptor 150 (Odorant receptor M93) (Olfactory receptor 171-18) (Olfactory receptor 7I)	Olfr150 Mor171-18 Olfr7	Mus musculus (Mouse)	OL150_MOUSE
Q8VEX5	Olfactory receptor 186 (Olfactory receptor 183-9)	Olfr186 Mor183-9	Mus musculus (Mouse)	OL186_MOUSE
Q8R189	Monocyte to macrophage differentiation factor 2 (Progestin and adipoQ receptor family member 10) (Progestin and adipoQ receptor family member X)	Mmd2 Paqr10	Mus musculus (Mouse)	PAQRA_MOUSE
Q8CI95	Oxysterol-binding protein-related protein 11 (ORP-11) (OSBP-related protein 11)	Osbpl11	Mus musculus (Mouse)	OSB11_MOUSE
B2RUR8	OTU domain-containing protein 7B (EC 3.4.19.12) (Cellular zinc finger anti-NF-kappa-B protein) (Zinc finger A20 domain-containing protein 1) (Zinc finger protein Cezanne)	Otud7b	Mus musculus (Mouse)	OTU7B_MOUSE
Q8K0Y7	Protein PAXX (Paralog of XRCC4 and XLF)	Paxx	Mus musculus (Mouse)	PAXX_MOUSE
Q8K3V4	Protein-arginine deiminase type-6 (EC 3.5.3.15) (Arginine deiminase-like protein) (Egg and embryo abundant PAD) (ePAD) (P75) (Peptidylarginine deiminase VI) (Protein-arginine deiminase type VI)	Padi6 Pad6 Padi5	Mus musculus (Mouse)	PADI6_MOUSE
Q9D2F7	Nuclear pore membrane glycoprotein 210-like (Nucleoporin 210 kDa-like) (Nucleoporin Nup210-like)	Nup210l	Mus musculus (Mouse)	P210L_MOUSE
Q9QXX3	Group 10 secretory phospholipase A2 (EC 3.1.1.4) (Group X secretory phospholipase A2) (GX sPLA2) (sPLA2-X) (Phosphatidylcholine 2-acylhydrolase 10)	Pla2g10	Mus musculus (Mouse)	PA2GX_MOUSE
Q9QZT4	Group IIF secretory phospholipase A2 (GIIF sPLA2) (sPLA2-IIF) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase 2F)	Pla2g2f	Mus musculus (Mouse)	PA2GF_MOUSE
Q61823	Programmed cell death protein 4 (Protein MA-3) (Topoisomerase-inhibitor suppressed protein)	Pdcd4 Ma3 Tis	Mus musculus (Mouse)	PDCD4_MOUSE
Q3TVI8	Pre-B-cell leukemia transcription factor-interacting protein 1 (Hematopoietic PBX-interacting protein)	Pbxip1 Hpip	Mus musculus (Mouse)	PBIP1_MOUSE
Q8C5N5	Programmed cell death protein 2-like	Pdcd2l	Mus musculus (Mouse)	PDD2L_MOUSE
O08908	Phosphatidylinositol 3-kinase regulatory subunit beta (PI3-kinase regulatory subunit beta) (PI3K regulatory subunit beta) (PtdIns-3-kinase regulatory subunit beta) (Phosphatidylinositol 3-kinase 85 kDa regulatory subunit beta) (PI3-kinase subunit p85-beta) (PtdIns-3-kinase regulatory subunit p85-beta)	Pik3r2	Mus musculus (Mouse)	P85B_MOUSE
Q8BSQ9	Protein polybromo-1 (BRG1-associated factor 180) (BAF180)	Pbrm1 Baf180 Pb1	Mus musculus (Mouse)	PB1_MOUSE
Q8K3K7	1-acyl-sn-glycerol-3-phosphate acyltransferase beta (EC 2.3.1.51) (1-acylglycerol-3-phosphate O-acyltransferase 2) (1-AGP acyltransferase 2) (1-AGPAT 2) (Lysophosphatidic acid acyltransferase beta) (LPAAT-beta)	Agpat2	Mus musculus (Mouse)	PLCB_MOUSE
Q07832	Serine/threonine-protein kinase PLK1 (EC 2.7.11.21) (Polo-like kinase 1) (PLK-1) (Serine/threonine-protein kinase 13) (STPK13)	Plk1 Plk	Mus musculus (Mouse)	PLK1_MOUSE
Q3V0K9	Plastin-1	Pls1	Mus musculus (Mouse)	PLSI_MOUSE
Q4KWH5	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase eta-1 (EC 3.1.4.11) (Phosphoinositide phospholipase C-eta-1) (Phospholipase C-eta-1) (PLC-eta-1) (Phospholipase C-like protein 3) (PLC-L3)	Plch1 Kiaa1069 Plcl3	Mus musculus (Mouse)	PLCH1_MOUSE
Q8BGQ4	Protein O-mannosyl-transferase 2 (EC 2.4.1.109) (Dolichyl-phosphate-mannose--protein mannosyltransferase 2)	Pomt2	Mus musculus (Mouse)	POMT2_MOUSE
Q62077	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1 (EC 3.1.4.11) (Phosphoinositide phospholipase C-gamma-1) (Phospholipase C-gamma-1) (PLC-gamma-1)	Plcg1 Plcg-1	Mus musculus (Mouse)	PLCG1_MOUSE
P16646	Peripheral myelin protein 22 (PMP-22) (Growth arrest-specific protein 3) (GAS-3)	Pmp22 Gas-3 Gas3 Pmp-22	Mus musculus (Mouse)	PMP22_MOUSE
Q8C1C8	Paraneoplastic antigen Ma1 homolog	Pnma1 Ma1	Mus musculus (Mouse)	PNMA1_MOUSE
Q8K4I7	Inactive serine protease 45 (Inactive testis serine protease 5) (Trypsin-like protease p98)	Prss45 Tessp5	Mus musculus (Mouse)	PRS45_MOUSE
P54775	26S proteasome regulatory subunit 6B (26S proteasome AAA-ATPase subunit RPT3) (CIP21) (MB67-interacting protein) (MIP224) (Proteasome 26S subunit ATPase 4) (Tat-binding protein 7) (TBP-7)	Psmc4 Tbp7	Mus musculus (Mouse)	PRS6B_MOUSE
Q9DC48	Pre-mRNA-processing factor 17 (Cell division cycle 40 homolog) (PRP17 homolog)	Cdc40 Prp17 Prpf17	Mus musculus (Mouse)	PRP17_MOUSE
Q8BW11	Putative inactive serine protease 58 (EC 3.4.21.4) (Trypsin-X3)	Prss58 Tryx3	Mus musculus (Mouse)	PRS58_MOUSE
Q9D6D8	Probable inactive peptidyl-prolyl cis-trans isomerase-like 6 (PPIase) (Cyclophilin-like protein PPIL6)	Ppil6	Mus musculus (Mouse)	PPIL6_MOUSE
Q62035	Platelet-activating factor receptor (PAF-R) (PAFr)	Ptafr	Mus musculus (Mouse)	PTAFR_MOUSE
P0DJF2	Protein PET117 homolog, mitochondrial	Pet117 Gm20571	Mus musculus (Mouse)	PT117_MOUSE
Q9DB60	Prostamide/prostaglandin F synthase (Prostamide/PG F synthase) (Prostamide/PGF synthase) (EC 1.11.1.20) (Peroxiredoxin-like 2B)	Prxl2b Fam213b	Mus musculus (Mouse)	PXL2B_MOUSE
Q62176	RNA-binding protein 38 (RNA-binding motif protein 38) (RNA-binding region-containing protein 1) (ssDNA-binding protein SEB4)	Rbm38 Rnpc1 Seb4 Seb4l	Mus musculus (Mouse)	RBM38_MOUSE
Q8BQP9	Regulator of G-protein signaling 7-binding protein (R7 family-binding protein)	Rgs7bp D13Bwg1146e R7bp	Mus musculus (Mouse)	R7BP_MOUSE
Q8BSI6	R3H and coiled-coil domain-containing protein 1	R3hcc1	Mus musculus (Mouse)	R3HC1_MOUSE
Q8BYK4	Retinol dehydrogenase 12 (EC 1.1.1.300)	Rdh12	Mus musculus (Mouse)	RDH12_MOUSE
P35288	Ras-related protein Rab-23 (Protein open brain) (Rab-15)	Rab23 Opb	Mus musculus (Mouse)	RAB23_MOUSE
Q9WUK4	Replication factor C subunit 2 (Activator 1 40 kDa subunit) (A1 40 kDa subunit) (Activator 1 subunit 2) (Replication factor C 40 kDa subunit) (RF-C 40 kDa subunit) (RFC40)	Rfc2	Mus musculus (Mouse)	RFC2_MOUSE
P53026	60S ribosomal protein L10a (CSA-19) (Neural precursor cell expressed developmentally down-regulated protein 6) (NEDD-6)	Rpl10a Nedd-6 Nedd6	Mus musculus (Mouse)	RL10A_MOUSE
Q6ZWU9	40S ribosomal protein S27	Rps27	Mus musculus (Mouse)	RS27_MOUSE
P62267	40S ribosomal protein S23	Rps23	Mus musculus (Mouse)	RS23_MOUSE
Q9CY16	28S ribosomal protein S28, mitochondrial (MRP-S28) (S28mt)	Mrps28	Mus musculus (Mouse)	RT28_MOUSE
A8Y5H7	SEC14-like protein 1	Sec14l1 Kiaa4251	Mus musculus (Mouse)	S14L1_MOUSE
Q5QGU6	Receptor-transporting protein 3 (Transmembrane protein 7)	Rtp3 Tmem7	Mus musculus (Mouse)	RTP3_MOUSE
Q8C8C1	Receptor-transporting protein 1	Rtp1 Gm604	Mus musculus (Mouse)	RTP1_MOUSE
Q9D5K4	S100P-binding protein	S100pbp	Mus musculus (Mouse)	S1PBP_MOUSE
Q9ER80	Receptor-transporting protein 4 (28 kDa interferon-responsive protein)	Rtp4 Ifrg28	Mus musculus (Mouse)	RTP4_MOUSE
Q8R0F9	SEC14-like protein 4	Sec14l4	Mus musculus (Mouse)	S14L4_MOUSE
Q9ES07	Solute carrier family 15 member 2 (Kidney H(+)/peptide cotransporter) (Oligopeptide transporter, kidney isoform) (Peptide transporter 2)	Slc15a2 Pept2	Mus musculus (Mouse)	S15A2_MOUSE
Q9CQE3	28S ribosomal protein S17, mitochondrial (MRP-S17) (S17mt)	Mrps17 Rpms17	Mus musculus (Mouse)	RT17_MOUSE
Q6PDC0	RUN domain-containing protein 3B	Rundc3b Gm440	Mus musculus (Mouse)	RUN3B_MOUSE
Q9JIP7	Solute carrier family 15 member 1 (Intestinal H(+)/peptide cotransporter) (Oligopeptide transporter, small intestine isoform) (Peptide transporter 1) (Proton-coupled dipeptide cotransporter)	Slc15a1 Pept1	Mus musculus (Mouse)	S15A1_MOUSE
A2ADF7	Solute carrier family 25 member 34	Slc25a34 Gm1369	Mus musculus (Mouse)	S2534_MOUSE
Q924N4	Solute carrier family 12 member 6 (Electroneutral potassium-chloride cotransporter 3) (K-Cl cotransporter 3)	Slc12a6 Kcc3	Mus musculus (Mouse)	S12A6_MOUSE
Q8BYF6	Sodium-coupled monocarboxylate transporter 1 (Electrogenic sodium monocarboxylate cotransporter) (Solute carrier family 5 member 8)	Slc5a8 Smct Smct1	Mus musculus (Mouse)	SC5A8_MOUSE
Q6NZC7	SEC23-interacting protein	Sec23ip	Mus musculus (Mouse)	S23IP_MOUSE
Q9JJE4	Progestin and adipoQ receptor family member 4 (Progestin and adipoQ receptor family member IV)	Paqr4 MNCb-0914	Mus musculus (Mouse)	PAQR4_MOUSE
Q505D7	Optic atrophy 3 protein homolog	Opa3	Mus musculus (Mouse)	OPA3_MOUSE
O88634	Proteinase-activated receptor 4 (PAR-4) (Coagulation factor II receptor-like 3) (Thrombin receptor-like 3)	F2rl3 Par4	Mus musculus (Mouse)	PAR4_MOUSE
P57722	Poly(rC)-binding protein 3 (Alpha-CP3)	Pcbp3	Mus musculus (Mouse)	PCBP3_MOUSE
Q6TCG2	Membrane progesterone receptor epsilon (mPR epsilon) (Membrane progesterone P4 receptor epsilon) (Membrane progestin receptor epsilon) (Progesterone and adipoQ receptor family member 9) (Progestin and adipoQ receptor family member 9) (Progestin and adipoQ receptor family member IX)	Paqr9	Mus musculus (Mouse)	PAQR9_MOUSE
Q9D2Q3	ATPase PAAT (EC 3.6.1.-) (Protein associated with ABC transporters) (PAAT)	Paat	Mus musculus (Mouse)	PAAT_MOUSE
Q80W65	Proprotein convertase subtilisin/kexin type 9 (EC 3.4.21.-) (Neural apoptosis-regulated convertase 1) (NARC-1) (Proprotein convertase 9) (PC9) (Subtilisin/kexin-like protease PC9)	Pcsk9 Narc1	Mus musculus (Mouse)	PCSK9_MOUSE
Q3ULB5	Serine/threonine-protein kinase PAK 6 (EC 2.7.11.1) (p21-activated kinase 6) (PAK-6)	Pak6	Mus musculus (Mouse)	PAK6_MOUSE
Q3UUQ7	GPI inositol-deacylase (EC 3.1.-.-) (Post-GPI attachment to proteins factor 1)	Pgap1	Mus musculus (Mouse)	PGAP1_MOUSE
Q8BX10	Serine/threonine-protein phosphatase PGAM5, mitochondrial (EC 3.1.3.16) (Phosphoglycerate mutase family member 5)	Pgam5	Mus musculus (Mouse)	PGAM5_MOUSE
Q91YV9	Post-GPI attachment to proteins factor 4 (Post-GPI attachment to proteins GalNAc transferase 4) (Transmembrane protein 246)	Pgap4 Tmem246	Mus musculus (Mouse)	PGAP4_MOUSE
Q80VM8	Paraneoplastic antigen-like protein 8A (PNMA-like protein 1)	Pnma8a Pnmal1	Mus musculus (Mouse)	PNM8A_MOUSE
Q9Z2M7	Phosphomannomutase 2 (PMM 2) (EC 5.4.2.8)	Pmm2	Mus musculus (Mouse)	PMM2_MOUSE
P60487	Chronophin (EC 3.1.3.16) (EC 3.1.3.74) (Pyridoxal 5'-phosphate phosphatase) (Pyridoxal phosphate phosphatase) (PLP phosphatase)	Pdxp Cin Plp Plpp	Mus musculus (Mouse)	PLPP_MOUSE
Q3UMZ3	Phospholipid phosphatase 5 (EC 3.1.3.4) (EC 3.1.3.81)	Plpp5	Mus musculus (Mouse)	PLPP5_MOUSE
Q3UM45	Protein phosphatase 1 regulatory subunit 7 (Protein phosphatase 1 regulatory subunit 22)	Ppp1r7 Sds22	Mus musculus (Mouse)	PP1R7_MOUSE
Q9DB28	Ribonuclease P/MRP protein subunit POP5 (EC 3.1.26.5)	Pop5	Mus musculus (Mouse)	POP5_MOUSE
Q9QY40	Plexin-B3 (Plexin-6)	Plxnb3 Kiaa1206 Plxn6	Mus musculus (Mouse)	PLXB3_MOUSE
Q9Z2H1	Regulator of G-protein signaling 11	Rgs11	Mus musculus (Mouse)	RGS11_MOUSE
Q8C0D4	Rho GTPase-activating protein 12 (Rho-type GTPase-activating protein 12)	Arhgap12	Mus musculus (Mouse)	RHG12_MOUSE
